iter	Passed	Remaining
308	1237	2767
309	1240	2762
310	1243	2755
311	1247	2750
312	1249	2743
313	1253	2737
314	1255	2730
315	1258	2723
316	1260	2716
317	1263	2710
318	1267	2706
319	1270	2699
320	1273	2693
321	1275	2686
322	1280	2684
323	1283	2678
324	1286	2671
325	1289	2666
326	1292	2660
327	1295	2654
328	1297	2647
329	1301	2641
330	1304	2636
331	1306	2629
332	1310	2624
333	1312	2617
334	1315	2611
335	1318	2606
336	1321	2600
337	1327	2599
338	1330	2594
339	1333	2588
340	1337	2584
341	1339	2578
342	1343	2572
343	1347	2569
344	1352	2566
345	1355	2561
346	1358	2557
347	1362	2552
348	1365	2547
349	1369	2543
350	1371	2536
351	1375	2531
352	1378	2526
353	1381	2521
354	1385	2517
355	1388	2511
356	1391	2505
357	1395	2501
358	1397	2495
359	1401	2491
360	1403	2484
361	1406	2479
362	1409	2473
363	1412	2467
364	1416	2463
365	1418	2457
366	1422	2453
367	1428	2453
368	1433	2450
369	1435	2444
370	1439	2439
371	1441	2434
372	1444	2428
373	1448	2424
374	1451	2418
375	1454	2413
376	1457	2407
377	1459	2402
378	1463	2397
379	1468	2395
380	1471	2390
381	1476	2388
382	1481	2386
383	1484	2381
384	1488	2377
385	1491	2371
386	1493	2365
387	1496	2361
388	1501	2358
389	1505	2355
390	1508	2349
391	1511	2344
392	1515	2340
393	1517	2334
394	1521	2331
395	1524	2325
396	1527	2320
397	1532	2317
398	1534	2311
399	1538	2308
400	1541	2303
401	1544	2297
402	1548	2294
403	1552	2290
404	1555	2284
405	1559	2280
406	1561	2275
407	1564	2270
408	1567	2264
409	1570	2259
410	1574	2256
411	1577	2251
412	1580	2245
413	1584	2242
414	1587	2238
415	1590	2233
416	1593	2228
417	1596	2222
418	1602	2221
419	1606	2217
420	1608	2212
421	1612	2208
422	1616	2204
423	1619	2199
424	1622	2194
425	1624	2189
426	1627	2184
427	1631	2180
